"Your account cannot be created","Your account cannot be created"
"Please make sure your passwords match.","Please make sure your passwords match."
"* Required Fields","* Required Fields"
"Sign-in Information","Sign-in Information"
Email,Email
Password,Password
"Confirm Password","Confirm Password"
"Sign Up","Sign Up"
"Already have an Account?","Already have an Account?"
Login,Login
"Forgot Your Password?","Forgot Your Password?"
"Log In","Log In"
"New Here?","New Here?"
Register,Register
Ajaxlogin,Ajaxlogin
Configuration,Configuration
create-an-account,create-an-account
signup,signup
